,Average Battery Life (in hours),Batteries,Brand,Card Description,Chipset Brand,Color,Computer Memory Type,Flash Memory Size,Graphics Coprocessor,Hard Drive,Hard Drive Interface,Item Dimensions  LxWxH,Item Weight,Item model number,Max Screen Resolution,Memory Speed,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Operating System,Optical Drive Type,Power Source,Processor,Processor Brand,Processor Count,Product Dimensions,RAM,Series,Standing screen display size,Wireless Type,price,rating,Hard Drive Rotational Speed,Hardware Platform,Screen Resolution,Graphics Card Ram Size,Voltage,National Stock Number,Rear Webcam Resolution,Package Dimensions,ASIN,Date First Available,Manufacturer,Manufacturer Part Number,Ruling,Batteries Included?,Batteries Required?,Display Style,Included Components,Is Discontinued By Manufacturer,Item Package Quantity,Part Number,Size,Style,Usage,Warranty Description,Department
2258,,,Dell,,,Black,DDR4 SDRAM,,GeForce RTX 2070 Max-q,512 GB SSD,PCIE x 4,14.4 x 10 x 0.96 inches,5.18 pounds,G5,1920 x 1080 Pixels,,,,Windows 10 Home,,,2.6 GHz core_i7,Intel,6,14.4 x 10 x 0.96 inches,16 GB,,15.6 Inches,,"$1,449.99",Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2259,,,HP,,Intel,Natural Silver,DDR4 SDRAM,,Intel UHD Graphics,1 TB HDD 5400 rpm,Serial ATA,15.8 x 10.1 x 0.8 inches,4.52 pounds,Premium,1600 x 900 Pixels,,,,Windows 10,,,4.1 GHz core_i3,Intel,2,15.8 x 10.1 x 0.8 inches,16 GB,Premium,17.3 Inches,,$669.00,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2260,,1 Lithium ion batteries required.,HP,,,,DDR4 SDRAM,128 GB,Intel® UHD Graphics,128 GB SSD,Solid State,14.71 x 9.53 x 0.71 inches,3.74 pounds,HP 15-dy laptop,1366 x 768 Pixels,,,,Windows 10 Home,No Optical Drive,,1.2 GHz apple_ci3,Intel,2,14.71 x 9.53 x 0.71 inches,8 GB,,15.6 Inches,802.11a/b/g/n/ac,$449.00,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2261,,,Generic,Integrated,Intel,,DDR4 SDRAM,,Integrated,1 TB SSD,PCIE x 2,,6.58 pounds,17t,1600x900 MP,,,,Windows 10 Home,,,4.2 GHz apple_ci5,Intel,1,,,,17.3 Inches,,,Pre,,PC,,,,,,20.55 x 13.89 x 3.15 inches,,,,,,,,,,,,,,,,,
2262,,,Nowco,Integrated,Intel,,,,,SSD,,11.75 x 8.25 x 0.3 inches,3 pounds,,1366 x 768 Pixels,,,2,Chrome OS,No,,1.1 GHz celeron,Intel,2,11.75 x 8.25 x 0.3 inches,DDR4,Chromebook 311,11.6 Inches,,$249.00,Pre,,,,,,,,,,,,,,,,,,,,,,,,,
2263,,,Dell,,Intel,,DDR4 SDRAM,,Intel UHD Graphics,256 GB SSD,ESATA,,5 pounds,Latitude 5521,1366 x 768 Pixels,,,,Windows 10 Pro,,,2.9 GHz core_i5_family,Intel,6,,16 GB,Latitude 5521,15.6 Inches,,,Pre,,PC,,,,,,18 x 14 x 4 inches,,,,,,,,,,,,,,,,,
2264,,,Acer,,,Pure Silver,DDR4 SDRAM,,Integrated Mali-G72 MP3,32 GB ssd,Solid State,,3.94 pounds,‎S166,1366 x 768 Pixels,,,,Chrome OS,,,2 GHz mediatek_mt8183,Mediatek,8,,4 GB,‎S166,11.6 Inches,,$244.99,4.7,,PC,,,,,,15.67 x 9.37 x 3.03 inches,,,,,,,,,,,,,,,,,
2265,,,Dell,,Intel,,DDR4 SDRAM,,Integrated Intel Iris Xe Graphics,512 GB SSD,ESATA,,4.82 pounds,Latitude 7420,1920 x 1080 Pixels,,,,Windows 10 Pro,,,2.6 GHz apple_ci5,Intel,4,,8 GB,Latitude 7420,14 Inches,,,Pre,,PC,,,,,,15.39 x 13.58 x 2.83 inches,,,,,,,,,,,,,,,,,
2266,,,Dell,,Intel,,DDR4 SDRAM,,Integrated Intel Iris Xe Graphics,512 GB SSD,ESATA,,6.76 pounds,Latitude 5420,1920 x 1080 Pixels,,,,Windows 10 Pro,,,2.4 GHz core_i5_family,Intel,4,,16 GB,Latitude 5420,14 Inches,,,Pre,,PC,,,,,,20 x 14.25 x 6.8 inches,,,,,,,,,,,,,,,,,
2267,,,HP,Ntel UHD Graphics 600,Intel,,DDR4 SDRAM,,Intel UHD Graphics 600,32 GB ssd,Solid State,12.76 x 8.9 x 0.74 inches,3.52 pounds,HP14-N4000,1366 x 768 Pixels,,,,Chrome OS,,AC & Battery,2.6 GHz celeron_n4000,Intel,2,12.76 x 8.9 x 0.74 inches,4 GB,,14 Inches,802.11a/b/g/n/ac,$349.99,Pre,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
2268,,,Dell,,Intel,,DDR4 SDRAM,,Integrated Intel Iris Xe Graphics,512 GB SSD,ESATA,,5.67 pounds,Latitude 5520,1920 x 1080 Pixels,,,,Windows 10 Pro,,,3 GHz core_i7_family,Intel,4,,16 GB,Latitude 5520,15.6 Inches,,,Pre,,PC,,,,,,18.23 x 14.88 x 4.02 inches,,,,,,,,,,,,,,,,,
2269,,,HP,Intel UHD Graphics,Intel,,DDR4 SDRAM,,Intel UHD Graphics,128 GB ssd,ATA,12.76 x 8.7 x 0.74 inches,3.52 pounds,14 Pavilion i3,1366 x 768 Pixels,4.1 GHz,,,Windows 10 Home,,AC & Battery,4.1 GHz apple_ci3,Intel,2,12.76 x 8.7 x 0.74 inches,4 GB,,14 Inches,,$489.99,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2270,,,Nowco,Integrated,Intel,,,4 GB,Intel HD Graphics 500,SSD,,12.68 x 8.98 x 0.63 inches,5 pounds,,1366 x 768 Pixels,,,,Chrome OS,,,1.1 GHz celeron,Intel,2,12.68 x 8.98 x 0.63 inches,DDR4,Chromebook Laptop,14 Inches,,$245.00,Pre,,,,4 GB,,,,,,,,,,,,,,,,,,,,,
2271,,,Lenovo,,Intel,"Shadow Black, Surface Treatment with Leather",DDR4 SDRAM,,Integrated Intel Iris Xe Graphics,512 GB ssd,Solid State,12.57 x 8.53 x 0.64 inches,5.79 pounds,82BG000EUS,1920 x 1080 Pixels,,,,Windows 10 Home,,,4.8 GHz core_i7_family,Intel,4,12.57 x 8.53 x 0.64 inches,16 GB LPDDR4,82BG000EUS,14 Inches,,,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2272,,,HP,,Intel,,DDR4 SDRAM,,Intel UHD Graphics 600,64 GB SSD,Solid State,13.27 x 8.9 x 0.7 inches,4.51 pounds,14-Celeron,1366 x 768 Pixels,2400 MHz,,,Windows 10 Home,,AC & Battery,1.1 GHz celeron_n4000,Intel,2,13.27 x 8.9 x 0.7 inches,4 GB,,14 Inches,,,Pre,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
2273,,,Dell,,NVIDIA,,DDR4 SDRAM,,NVIDIA T1200 4GB GDDR6,512 GB SSD,ESATA,,7.66 pounds,Precision 5560,1920 x 1200 Pixels,,,,Windows 10 Pro,,,2.3 GHz core_i7_family,Intel,8,,16 GB,Precision 5560,15.6 Inches,,,Pre,,PC,,,,,,20.4 x 16.6 x 8.3 inches,,,,,,,,,,,,,,,,,
2274,,1 Lithium ion batteries required. (included),HP,Integrated,Intel,,DDR4 SDRAM,64 GB,Intel UHD Graphics 600,64 GB SSD,Solid State,12.76 x 8.86 x 0.71 inches,3.3 pounds,HP 14 laptop,1366 x 768 Pixels,,,2,Windows 10 S,,,2.8 GHz celeron_n4020,Intel,2,12.76 x 8.86 x 0.71 inches,4 GB,,14 Inches,,$299.00,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2275,,,Lenovo,Intel® UHD Graphics and Quadro P520,NVIDIA,,DDR4 SDRAM,,Intel® UHD Graphics and Quadro P520,512 GB SSD,Solid State,,5.3 pounds,ThinkPad P14s i7-Touch-48GB RAM-512GB,1920 x 1080 Pixels,,,,Windows 10 Pro,,,4.9 GHz core_i7_family,Intel,4,,48 GB DDR4,,14 Inches,,,Pre,,PC,,,,,,17.56 x 12.17 x 3.19 inches,,,,,,,,,,,,,,,,,
2276,,,Lenovo,,AMD,Platinum Grey,DDR4 SDRAM,,Radeon RX Vega 10 Graphics,512 GB SSD,PCIE x 4,15.83 x 11.07 x 0.78 inches,4.85 pounds,IdeaPad,1600 x 900 Pixels,,,,Windows 10,,,4 GHz amd_r_series,AMD,4,15.83 x 11.07 x 0.78 inches,20 GB,IdeaPad,17.3 Inches,,$799.99,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2277,,,Lenovo,Integrated,Intel,Silver,DDR4 SDRAM,,Integrated Intel UHD Graphics 600,32 GB ssd,Solid State,17.78 x 11.38 x 3.5 inches,3.93 pounds,81T,1366 x 768 Pixels,2400 MHz,,,Chrome OS,,AC & Battery,1.1 GHz intel_celeron_d,Intel,2,17.78 x 11.38 x 3.5 inches,4 GB,Lenovo ChromeBook,11.6 Inches,802.11ac,$285.00,5.0,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
2278,,,Dell,,,Carbon Black,DDR4 SDRAM,,Intel UHD Graphics,256 GB SSD,Solid State,14.33 x 9.8 x 0.78 inches,6 pounds,Inspiron 15,1920 x 1080 Pixels,,1,2,Windows 10 Home,,AC & Battery,3 hertz celeron_n4000,ARM,2,14.33 x 9.8 x 0.78 inches,8 GB,Dell,15.6 Inches,801.11ac,,Pre,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
2279,12.5 Hours,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,AMD,Abyss Blue,,,,ssd,,12.09 x 8.35 x 0.7 inches,3.3 pounds,20UX001RUS,1920 x 1080,,,4,Chrome OS,No Optical Drive,,3.7 GHz amd_c_series,AMD,1,12.09 x 8.35 x 0.7 inches,8 GB DDR4,Thinkpad C13 Yoga Chromebook,13.3,802.11ac,,Pre,,,,,,,,,,,,,,,,,,,,,,,,,
2280,12.5 Hours,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,AMD,Abyss Blue,,,,ssd,,12.09 x 8.35 x 0.7 inches,4.65 pounds,20UX001SUS,1920 x 1080,,,4,Chrome OS,No Optical Drive,,4 GHz amd_ryzen_7,AMD,1,12.09 x 8.35 x 0.7 inches,,Thinkpad C13 Yoga Chromebook,13.3,802.11ac,"$1,085.66",Pre,,,,,,,,,,,,,,,,,,,,,,,,,
2281,12.5 Hours,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,AMD,Abyss Blue,,,,ssd,,12.09 x 8.35 x 0.7 inches,3.3 pounds,20UX001UUS,1920 x 1080,,,4,Chrome OS,No Optical Drive,,3.7 GHz amd_c_series,AMD,1,12.09 x 8.35 x 0.7 inches,16 GB DDR4,Thinkpad C13 Yoga Chromebook,13.3,802.11ac,,Pre,,,,,,,,,,,,,,,,,,,,,,,,,
2282,12.5 Hours,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,AMD,Abyss Blue,,,,ssd,,12.09 x 8.35 x 0.7 inches,4.4 pounds,20UX001WUS,1920 x 1080,,,4,Chrome OS,No Optical Drive,,3.7 GHz amd_c_series,AMD,1,12.09 x 8.35 x 0.7 inches,DDR4,Thinkpad C13 Yoga Chromebook,13.3,802.11ac,,Pre,,,,,,,,,,,,,,,,,,,,,,,,,
2283,,1 Lithium ion batteries required.,HP,,Intel,,DDR4 SDRAM,64 GB,Intel UHD Graphics 600,64 GB SSD,Solid State,13.27 x 8.9 x 0.7 inches,4.48 pounds,HP 14 laptop,1366 x 768 Pixels,,,,Windows 10 Home,,,1.1 GHz celeron_n4000,Intel,2,13.27 x 8.9 x 0.7 inches,4 GB,,14 Inches,"802.11bgn, 802.11ac",,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2284,,1 Lithium ion batteries required.,Bordell,,Intel,,DDR4 SDRAM,,GTX 1650,256 GB SSD,PCIE x 2,,7.98 pounds,G15,1920 x 1080 MP,,,,"Win10, Windows 10 Home",,,4.1 GHz core_i5_family,Intel,1,,,,15.6 Inches,,,Pre,,PC,,,,,,21 x 14 x 4 inches,,,,,,,,,,,,,,,,,
2285,,,ASUS,,Intel,Gold,DDR4 SDRAM,,Intel UHD Graphics 600,320 GB SSD,Solid State,12.81 x 8.56 x 0.74 inches,2.87 pounds,E410,1366 x 768 Pixels,,,,Windows 10,,,1.1 GHz celeron_n,Intel,2,12.81 x 8.56 x 0.74 inches,4 GB,E410,14 Inches,,$349.99,5.0,,PC,,,,,,,,,,,,,,,,,,,,,,,
2286,,,Nowco,Integrated,Intel,,DDR4 SDRAM,,‎Intel UHD Graphics,128 GB SSD,Solid State,12.76 x 8.7 x 0.74 inches,5.14 pounds,HP Pavilion x360,1366 x 768 Pixels,,,,Windows 10 Home,,,2 GHz apple_ci3,Intel,2,12.76 x 8.7 x 0.74 inches,,,14 Inches,,$569.99,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2287,,,Nowco,,Intel,,DDR4 SDRAM,,‎Integrated,128 GB SSD,Solid State,14.11 x 9.53 x 0.78 inches,5.54 pounds,15_dw0083wm,1366 x 768 Pixels,,,,"Windows 10 S, Win 10 home",,,1.1 GHz pentium_N5000,Intel,1,14.11 x 9.53 x 0.78 inches,,,15.6 Inches,,$388.00,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2288,,,Nowco,Integrated,AMD,,DDR4 SDRAM,,‎AMD Radeon Graphics,256 GB SSD,Solid State,14.1 x 9.3 x 0.8 inches,5.3 pounds,‎82KU003NUS,1920 x 1080 Pixels,,,,Windows 10 Home,,,2.3 GHz ryzen_5,Intel,4,14.1 x 9.3 x 0.8 inches,,,15.6 Inches,,$568.00,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2289,9 Hours,,HP,,Intel,Rose Gold,DDR4 SDRAM,,Intel UHD Graphics 600,64 GB SSD,PCIE x 8,8.8 x 12.7 x 0.7 inches,3.2 pounds,HP Laptop,1366x768 Pixels,2400 MHz,,,Windows 10 S,,AC & Battery,1.1 GHz celeron_n3450,Intel,2,8.8 x 12.7 x 0.7 inches,4 GB SO-DIMM,,14 Inches,802.11abg,$319.99,Pre,,PC,1366x768,,,,720 Pixels,,,,,,,,,,,,,,,,,,
2290,12 Hours,1 Lithium ion batteries required. (included),Lenovo,Integrated,AMD,Black,DDR4 SDRAM,,Integrated AMD Radeon R5 Graphics,64 GB SSD,Solid State,12.91 x 8.86 x 0.7 inches,0.12 ounces,Lenovo 14w,1920 x 1080 Pixels,,,,Windows 10 Pro,,,2.7 GHz amd_a6,AMD,2,12.91 x 8.86 x 0.7 inches,4 GB,,14 Inches,,,Pre,,PC,1920 x 1080 pixels,,,,,,,,,,,,,,,,,,,,,,
2291,,,HP,,AMD,Silver,DDR4 SDRAM,,AMD Radeon Graphics,512 GB SSD,PCIE x 4,15.78 x 10.15 x 0.81 inches,4.55 pounds,P0013D,1920 X 1080 Pixels,,,,Windows 10,,,2.1 GHz amd_r_series,AMD,6,15.78 x 10.15 x 0.81 inches,16 GB,Hp laptop,17.3 Inches,,$829.99,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2292,,,POULEASTER,,,,DDR3 SDRAM,,HD500,128 GB SSD,ATA,,3.92 pounds,N14,1366 x 768 Pixels,,,,Windows 10,,,1.5 GHz celeron_j3455,Intel,4,,,,14 Inches,,,4.4,,PC,,,,,,17.4 x 11.02 x 2.44 inches,,,,,,,,,,,,,,,,,
2293,,,HP,Intel UHD Graphics 600,Intel,,DDR4 SDRAM,,Intel UHD Graphics 600,64 GB SSD,Solid State,13.27 x 8.9 x 0.7 inches,4.69 pounds,14cwm,1366 x 768 Pixels,2400 MHz,1,2,Windows 10 Home,,AC & Battery,1.1 GHz celeron_n4000,Intel,2,13.27 x 8.9 x 0.7 inches,4 GB,,14 Inches,802.11a/b/g/n/ac,,Pre,,PC,1366x768,,,,,,,,,,,,,,,,,,,,,,
2294,,,Nowco,,Intel,,DDR4 SDRAM,,‎Intel UHD Graphics 600,32 GB SSD,Solid State,11.22 x 7.59 x 0.72 inches,3.97 pounds,81TA0010US,1366 x 768 Pixels,,,,Chrome OS,,,1.1 GHz celeron_n4000,Intel,2,11.22 x 7.59 x 0.72 inches,,,11.6 Inches,,$288.00,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2295,,,Jumper,Integrated,,,DDR4 SDRAM,,UHD Graphics 600,128 GB hdd,ATA-3,,3.34 pounds,EZBook X1S,1920 x 1080 Pixels,,,,Windows 10,,,2.6 GHz celeron_n4020,Intel,4,,4 GB LPDDR4,,11.6 Inches,,,Pre,,PC,,,,,,11.4 x 9.5 x 2 inches,,,,,,,,,,,,,,,,,
2296,,1 Lithium ion batteries required. (included),HP,Integrated,Intel,,DDR3 SDRAM,64 GB,Intel UHD Graphics 600,64 GB SSD,Solid State,11.08 x 7.59 x 0.66 inches,2.3 pounds,HP Stream,1366 x 768 Pixels,2400 MHz,,,Windows 10 Home,,,2.6 GHz celeron_n4000,Intel,2,11.08 x 7.59 x 0.66 inches,4 GB,,11.6 Inches,802.11a/b/g/n/ac,,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2297,10 Hours,,Nowco,Integrated,Intel,,DDR4 SDRAM,,Intel HD Graphics 500,128 GB SSD,Solid State,,2.7 pounds,Chromebook 14,1366 x 768 Pixels,2400 MHz,,,Chrome OS,,Battery Powered,1.1 GHz celeron_n3350,Intel,2,,LPDDR4,ASUS Chromebook,14 Inches,Bluetooth,$279.00,Pre,,PC,,,,,,18 x 12 x 5 inches,,,,,,,,,,,,,,,,,
2298,,,Lenovo,Integrated,Intel,,DDR DRAM,128 GB,Integrated Intel UHD Graphics,128 GB SSD,Solid State,,5.24 pounds,81X80086US,1920 x 1080 Pixels,,,,Windows 10,,,3 GHz apple_ci3,Intel,4,,4 GB DDR4,Lenovo Ideapad,15.6 Inches,,$399.99,Pre,,PC,,,,,,20.94 x 13.11 x 2.91 inches,,,,,,,,,,,,,,,,,
2299,8 Hours,,HP,,AMD,,DDR DRAM,,AMD Radeon™ graphics,256 GB SSD,Solid State,,5.25 pounds,17-cp0013dx,1920 x 1080 Pixels,,,,Windows 10 S,,Battery Powered,2.1 GHz amd_r_series,AMD,4,,8 GB DDR4,,17.3 Inches,,,Pre,,PC,,,,,,20.39 x 13.54 x 2.83 inches,,,,,,,,,,,,,,,,,
2300,,,TOPOSH,Integrated,Intel,,DDR4 SDRAM,,Intel HD Graphics 500,64 GB SSD,ESATA,,2.42 pounds,TOPOSH1503,1920 X 1080 Pixels,,,,Windows 10 Pro,,,1.1 GHz celeron_n3350,Intel,4,,,,12.5 Inches,,,Pre,,PC,,,,,,17.48 x 10.87 x 2.13 inches,,,,,,,,,,,,,,,,,
2301,16.5 Hours,1 Lithium ion batteries required. (included),Lenovo,,NVIDIA,Black,DDR4 SDRAM,512 GB,NVIDIA Quadro P520,512 GB SSD,Solid State,14.4 x 9.8 x 0.8 inches,3.86 pounds,20T40025US,1920 x 1080 Pixels,1.6 GHz,,,Windows 10 Pro,,Battery Powered,1.7 GHz core_i5,Intel,4,14.4 x 9.8 x 0.8 inches,16 GB SDRAM,Lenovo ThinkPad P15s Gen 1,15.6 Inches,802.11ax,,5.0,,PC,1920x1080,2 GB,,,5 MP,,,,,,,,,,,,,,,,,,
2302,,1 Lithium ion batteries required. (included),Acer,Integrated,Qualcomm,,DDR4 SDRAM,,Integrated,64 GB ssd,Serial ATA-600,,4.39 pounds,CP513-1H-S60F,1920 x 1080 Pixels,,,,Chrome OS,,Battery Powered,2.4 GHz Snapdragon,Qualcomm,8,,64 GB,Acer Chromebook,13.3 Inches,Bluetooth,,Pre,,Chromebook,,,,,,18.1 x 11.4 x 1.7 inches,,,,,,,,,,,,,,,,,
2303,,1 Lithium ion batteries required. (included),Dell,Integrated,Intel,,DDR4 SDRAM,256 GB,Intel UHD Graphics 620,256 GB ssd,ESATA,,3 pounds,Latitude 7210,1920 x 1280 Pixels,1.8 GHz,,,Windows 10 Pro,,Battery Powered,1.8 GHz core_i7_family,Intel,4,,16 GB LPDDR3,Latitude 7210,12 Inches,802.11ax,,Pre,,PC,,,,,,16 x 14 x 4 inches,,,,,,,,,,,,,,,,,
2304,,,Lenovo,Integrated,AMD,,DDR4 SDRAM,128,,128 GB flash_memory_solid_state,USB 3.1,,3 pounds,20UX001YUS,1920 x 1080,,2,2,Chrome OS,No Optical Drive,"Corded Electric, Battery Powered",2.6 GHz amd_ryzen_5_3450u,AMD,2,,4 GB DDR4,Lenovo Thinkpad,13.3 Inches,"Bluetooth, 802.11a",$674.75,Pre,,,1920 x 1080,,,,,18 x 11 x 2.75 inches,,,,,,,,,,,,,,,,,
2305,11 Hours,1 Lithium ion batteries required. (included),Basrdis,"Intel UHD Graphics 600 / Integrated, Integrated",Intel,,DDR4 SDRAM,64 GB,Intel,64 GB HDD,Serial ATA,12.82 x 8.6 x 0.7 inches,3.22 pounds,14a-na0023cl,1920 x 1080 Pixels,2.6 GHz,,,,,AC & Battery,2.6 GHz celeron_n4000,Intel,2,12.82 x 8.6 x 0.7 inches,4 GB SDRAM,14 Chromebook,14 Inches,Bluetooth,,Pre,,PC,,,,,,,,,,,,,,,,,,,,,,,
2306,,2 Lithium Metal batteries required. (included),Ansxiy,Integrated,Intel,,,64 GB,Intel HD Graphics 500,64 GB SSHD,,,3.68 pounds,,1920 x 1080 Pixels,,1,1,Windows 10,DVD-R,,2.8 MHz celeron_n3350,Intel,1,,LPDDR4,1,13.3 Inches,,,Pre,,PC,,,,,,17.17 x 10 x 2.13 inches,,,,,,,,,,,,,,,,,
2307,,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,Intel,Ice Blue,DDR4 SDRAM,64,,SSD,,,4.76 pounds,81VU00D1US,1366 x 768,,,2,Windows,No Optical Drive,Battery Powered,1.1 GHz celeron_n4020,Intel,1,,4 GB DDR4,Ideapad 1 14 Laptop,14 Inches,802.11ac,,Pre,,PC,,,,,,18.5 x 11.89 x 3.15 inches,,,,,,,,,,,,,,,,,
2308,,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,Intel,Platinum Grey,DDR4 SDRAM,,,SSD,,,4.59 pounds,81WD010UUS,1920 x 1080,,1,2,Windows,No Optical Drive,,1.2 GHz core_i3,Intel,1,,4 GB DDR4,Ideapad 3 14 Laptop,14 Inches,802.11ac,,Pre,,PC,,,,,,19.2 x 12.4 x 3 inches,,,,,,,,,,,,,,,,,
2309,,1 Lithium Polymer batteries required. (included),Lenovo,Dedicated,NVIDIA,Shadow Black,,,NVIDIA GeForce GTX 1650,SSD,,,7.48 pounds,82K200UTUS,1920 x 1080,,,2,Windows,No Optical Drive,,3.3 ryzen_5,AMD,1,,8 GB DDR4,Ideapad Gaming 3 15,15.6,802.11ax,,4.4,,,,,,,,21.2 x 13.3 x 4.5 inches,,,,,,,,,,,,,,,,,
2310,,,N/W,Integrated,Intel,银色,,16 GB,,256 GB SSD,ATA100,14 x 10.5 x 2.5 inches,12.3 ounces,1030 G1,1920 x 1080 Pixels,,1,2,Windows 10,BD-R,,1.1 GHz Celeron_585,Intel,2,14 x 10.5 x 2.5 inches,DDR3,1030 G1,13.3 Inches,,,,7200 RPM,,,16 GB,,,,,B09B9Q66Z9,"October 4, 2021",N\W,,,,,,,,,,,,,,Unisex-adult
2311,,,HP,,Intel,Silver,DDR4 SDRAM,,Intel Iris Xe Graphics,256 GB SSD,Serial ATA-300,,7 pounds,3b0f3ua#aba,1920 x 1080 Pixels,,,,Windows 10 Home,,,4.1 GHz apple_ci5,Intel,1,,,,15.6 Inches,,,Pre,,PC,,,,,,15 x 10 x 2 inches,,,,,,,,,,,,,,,,,
2312,,,HP,Integrated,Intel,,DDR4 SDRAM,256 GB,‎Intel UHD Graphics,1 TB HDD 7200 rpm,Serial ATA-300,,7.85 pounds,37P29UA#ABA,1920 x 1080 Pixels,2666 MHz,,,Windows 10,,,3.3 GHz apple_ci5,Intel,2,,8 GB,,17.3 Inches,,,Pre,,Windows,,,,,,23 x 14.5 x 4.5 inches,,,,,,,,,,,,,,,,,
2313,,,HP,Intel UHD Graphics 605,Intel,,DDR4 SDRAM,,Intel UHD Graphics 605,128 GB SSD,Solid State,14.11 x 9.52 x 0.78 inches,3.9 pounds,15dw10,1366 x 768 Pixels,2400 MHz,,,Windows 10,,AC & Battery,2.4 GHz pentium_other,Intel,2,14.11 x 9.52 x 0.78 inches,4 GB DDR4,,15.6 Inches,802.11a/b/g/n/ac,,Pre,,PC,1366x768,,,,720 Pixels,,,,,,,,,,,,,,,,,,
2314,,,Lenovo,,Intel,,DDR4 SDRAM,512 GB,Intel UHD Graphics,512 GB SSD,Solid State,,4.07 pounds,81WR000FUS,1366 x 768 Pixels,4.1 GHz,,,Windows 10 S,,,2.1 GHz core_i3_10110u,Intel,2,,12 GB DDR4,Lenovo Ideapad,15.6 Inches,Bluetooth,$649.99,Pre,,PC,,,,,,21.1 x 13.58 x 2.72 inches,,,,,,,,,,,,,,,,,
2315,,,Lenovo,Dedicated,NVIDIA,Dark Moss,DDR4 SDRAM,,GTX 1660 Ti,512 GB SSD,PCIE x 4,14.9 x 10.24 x 1.03 inches,5.51 pounds,6003YUS,1920 x 1080 Pixels,,,,Windows 10,,"Corded Electric, Battery Powered",2.6 GHz core_i7,Intel,6,14.9 x 10.24 x 1.03 inches,16 GB DDR4,Legion,15.6 Inches,Bluetooth,,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
2316,7 Hours,2 Lithium Polymer batteries required. (included),Lenovo,Integrated,Intel,,DDR DRAM,256,Intel,256 GB SSD,Solid State,,5.04 pounds,81WR000GUS,1366 x 768 Pixels,4.1 GHz,1,1,Windows 10 Home,No Optical Drive,Battery Powered,1.3 GHz core_i3_10110u,Intel,2,,8 GB DDR4,81WR000GUS,15.6 Inches,Bluetooth,$539.99,Pre,,PC,,,,,,20.8 x 13 x 2.8 inches,,,,,,,,,,,,,,,,,
2317,6 Hours,3 Lithium Polymer batteries required. (included),MSI,Dedicated,Intel,,DDR4 SDRAM,512,,512 GB flash_memory_solid_state,USB 3.2,20.32 x 13.5 x 4.25 inches,4.85 pounds,GF75642,1920 x 1080,2666 MHz,1,1,Windows 10 Home,No Optical Drive,Battery Powered,2.5 GHz core_i5,Intel,1,20.32 x 13.5 x 4.25 inches,8 GB DDR4,GF75642,17.3 Inches,Bluetooth,$991.59,4.5,,,1920 x 1080,,,,,,,,,,,,,,,,,,,,,,
2318,,,Dell,"Intel Integrated Graphics, Integrated",Intel,,DDR4 SDRAM,,Intel Integrated Graphics,256 GB SSD,Solid State,,4.58 pounds,,1920x1080 MP,,,,Windows 10 Pro,,,2.6 GHz core_i5,Intel,4,,16 GB,Latitude 5320 Laptop,13.3 Inches,,,Pre,,PC,,1.00,,,,17.2 x 13.27 x 3.94 inches,,,,,,,,,,,,,,,,,
2319,,,HP,Integrated,Intel,,DDR4 SDRAM,256 GB,Intel Iris Xᵉ Graphics Integrated,256 GB SSD,Solid State,14.11 x 9.53 x 0.71 inches,3.75 pounds,HP15ddx,1920 x 1080 Pixels,2666 MHz,,,Windows 10,,AC & Battery,4.2 GHz apple_ci5,Intel,4,14.11 x 9.53 x 0.71 inches,8 GB DDR4,,15.6 Inches,802.11a/b/g/n/ac,,Pre,,PC,1920x1080,,,,,,,,,,,,,,,,,,,,,,
